http://dbpedia.org/property/ethnicity,count,adjective
http://dbpedia.org/resource/Maniq_people,2,
http://dbpedia.org/resource/Lama_Lama_people,2,
9860,2,
http://dbpedia.org/resource/Chamba_people,2,
96,2,
http://dbpedia.org/resource/Malaysian_Siamese,2,
http://dbpedia.org/resource/Roman_people,2,
900,2,
http://dbpedia.org/resource/Bongo_people_(Gabon),2,
http://dbpedia.org/resource/Manggarai_people,2,
http://dbpedia.org/resource/Ingush_people,2,
http://dbpedia.org/resource/Mongols,2,
Russian-Jewish,2,
http://dbpedia.org/resource/Kaluli_people,2,
http://dbpedia.org/resource/Tocharians,2,
http://dbpedia.org/resource/Aragonese_people,2,
http://dbpedia.org/resource/Slavs,2,
http://dbpedia.org/resource/Betawi_people,2,
http://dbpedia.org/resource/Koiari_people,2,
http://dbpedia.org/resource/Kalmyks,2,
http://dbpedia.org/resource/Aboriginal_Australian,2,
Nigerian,2,
"Sri Lankan Malays, also spoken by some Sinhalese in Hambantota",2,
Turkmen,2,
http://dbpedia.org/resource/Gondi_people,2,
http://dbpedia.org/resource/Catalans,2,
http://dbpedia.org/resource/Great_Lakes_Twa,2,
http://dbpedia.org/resource/Lao_people,2,
http://dbpedia.org/resource/Sherpa_people,2,
http://dbpedia.org/resource/Wotjobaluk_people,2,
1.2,2,
http://dbpedia.org/resource/Kirati_people,2,
http://dbpedia.org/resource/Filipino_Americans,2,
http://dbpedia.org/resource/Bwe_people,2,
http://dbpedia.org/resource/Swedes,2,
http://dbpedia.org/resource/Purigpa,2,
http://dbpedia.org/resource/Mosuo,2,
http://dbpedia.org/resource/Quechuas,2,
http://dbpedia.org/resource/Palikur_people,2,
http://dbpedia.org/resource/Chuvans,2,
http://dbpedia.org/resource/Bai_people,2,
http://dbpedia.org/resource/Zomi,2,
"http://dbpedia.org/resource/Matupi,_Myanmar",2,
http://dbpedia.org/resource/Belarusians,2,
English people,2,
50000,2,
http://dbpedia.org/resource/Indigenous_peoples_in_Canada,2,
http://dbpedia.org/resource/Nhanda,2,
http://dbpedia.org/resource/Santal_people,2,
http://dbpedia.org/resource/Loloan_Malays,2,
http://dbpedia.org/resource/Ava_Guarani_people,2,
http://dbpedia.org/resource/Sierra_Miwok,2,
http://dbpedia.org/resource/Tuareg_people,2,
http://dbpedia.org/resource/Banyumasan_people,2,
http://dbpedia.org/resource/Hema_people,2,
http://dbpedia.org/resource/Iranian_people,2,
http://dbpedia.org/resource/Sephardi_Jews,2,
Armenian,2,
